County,Population,perc_rural,perc_over_65,death_rate,life_expectancy,region,median_household_income
Alameda,1666753,0.4,13.8,231,84.6,3,101744
Alpine,1101,100,25.4,1017,,4,55384
Amador,39383,60.4,27,297,83.2,4,58515
Butte,231256,18.9,18.6,399,82.3,1,50945
Calaveras,45602,75.4,27.5,336,85.9,4,62984
Colusa,21627,31.7,14.6,333,87.3,1,57249
Contra Costa,1150215,0.8,15.8,234,85.4,3,101463
Del Norte,27828,33.7,18,487,84.7,2,48518
El Dorado,190678,34.7,21.2,249,87.2,1,81869
Fresno,994400,10.8,12.3,352,81.2,6,52318
Glenn,28047,40.9,15.9,354,84.1,1,47365
Humboldt,136373,29.8,17.9,424,81.1,2,49471
Imperial,181827,17.4,13,313,83,10,46633
Inyo,17987,46.4,23.4,386,83.5,6,53793
Kern,896764,10.2,11,402,81.1,6,51586
Kings,151366,10.9,10.3,339,82.4,6,58255
Lake,64382,33.1,22.7,536,81.5,2,45086
Lassen,30802,70.5,15.2,368,96.3,1,57705
Los Angeles,10105518,0.6,13.6,260,84.4,8,67986
Madera,157672,32.9,14,331,83.3,4,53632
Marin,259666,6.5,22.3,165,88.6,3,122933
Mariposa,17471,100,27.9,375,103.6,4,51402
Mendocino,87606,45.2,22.1,350,90.1,2,51386
Merced,274765,14.3,11.2,354,82.2,4,56169
Modoc,8777,70,26.9,442,,1,45227
Mono,14250,45.8,15.8,188,,4,66499
Monterey,435594,9.8,13.6,249,84.2,5,69665
Napa,139417,13.4,19.1,241,86.7,2,85624
Nevada,99696,42.1,27.5,271,85.4,1,66681
Orange,3185968,0.1,14.8,214,85,9,89373
Placer,393149,13.8,19.6,233,85.2,1,89175
Plumas,18804,74,28.4,393,85.9,1,55079
Riverside,2450758,4.6,14.4,296,83.9,7,66793
Sacramento,1540975,2.1,14.1,324,83,1,69475
San Benito,61537,24,12.9,247,83.9,5,80063
San Bernardino,2171603,4.7,11.6,349,81.8,7,63310
San Diego,3343364,3.3,14,244,84.2,10,78777
San Francisco,883305,0,15.7,233,85.6,3,110601
San Joaquin,752660,8.5,12.7,366,81.7,4,63567
San Luis Obispo,284010,16.6,20.1,261,85,5,70626
San Mateo,769545,1.9,16.1,179,87.5,3,122930
Santa Barbara,446527,5,15.3,251,84.1,5,75646
Santa Clara,1937570,1.1,13.5,190,84.2,3,125933
Santa Cruz,274255,12,16.5,230,83.6,5,84213
Shasta,180040,29.3,20.9,441,83.1,1,53908
Sierra,2987,99.7,31.6,270,,1,52308
Siskiyou,43724,65.8,25.5,439,83,1,47560
Solano,446610,3.7,15.8,305,85.1,3,82808
Sonoma,499942,12.4,19.7,243,86,2,81002
Stanislaus,549815,8,13.2,371,82.7,4,59616
Sutter,96807,14.8,15.4,363,86.1,1,57879
Tehama,63916,51.5,19.4,431,83.2,1,47572
Trinity,12535,100,27.3,447,,2,40680
Tulare,465861,15.5,11.4,362,81.7,6,48763
Tuolumne,54539,49,26.2,349,82.7,4,56500
Ventura,850967,3.1,15.6,232,84.8,5,84170
Yolo,220408,6.9,12.5,259,83.9,1,67804
Yuba,78041,26.2,12.8,492,85.1,1,47504
