res_county,2020-08-29,2020-09-15,2020-09-22,2020-09-29,2020-10-05,2020-10-13,2020-10-20,2020-10-27,2020-11-04,2020-11-10,2020-11-16,2020-11-28,2020-12-01,2020-12-08,2020-12-15,2020-12-22,2021-01-05,2021-02-02,2021-02-09,2021-02-17,2021-03-02,2021-03-09,2021-03-16,2021-03-23,2021-03-30,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04
ALAMEDA,4,4,3,3,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2
ALPINE,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
AMADOR,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2
BUTTE,4,4,4,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2
CALAVERAS,3,3,3,2,2,2,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2
COLUSA,4,4,4,4,4,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2
CONTRA COSTA,4,4,4,3,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
DEL NORTE,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
EL DORADO,3,3,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2
FRESNO,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2
GLENN,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2
HUMBOLDT,4,4,2,2,1,1,1,1,1,1,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,2,2,2,2
IMPERIAL,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2
INYO,4,4,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2
KERN,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2
KINGS,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2
LAKE,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2
LASSEN,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1,1,1,1
LOS ANGELES,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,1
MADERA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
MARIN,4,3,3,3,3,3,3,2,2,2,3,3,3,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2
MARIPOSA,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
MENDOCINO,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1,1
MERCED,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
MODOC,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2
MONO,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2
MONTEREY,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
NAPA,3,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2
NEVADA,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
ORANGE,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2
PLACER,3,3,3,3,3,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
PLUMAS,2,2,2,2,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2
RIVERSIDE,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
SACRAMENTO,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
SAN BENITO,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
SAN BERNARDINO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
SAN DIEGO,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
SAN FRANCISCO,3,3,3,2,2,2,1,1,2,2,3,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2
