,county,res_county,cdc_case_earliest_dt,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Placer,PLACER,2020-03-29,18.0,14.0,32.0,340.0,4.0,1.0,10.0
1,San Mateo,SAN MATEO,2020-03-29,46.0,27.0,73.0,395.0,16.0,10.0,28.0
2,Trinity,TRINITY,2020-03-29,0.0,0.0,0.0,54.0,0.0,0.0,
3,Glenn,GLENN,2020-03-29,,,,47.0,,,
4,Lake,LAKE,2020-03-29,0.0,1.0,1.0,58.0,0.0,1.0,2.0
5,Calaveras,CALAVERAS,2020-03-29,,,,50.0,,,
6,San Francisco,SAN FRANCISCO,2020-03-29,50.0,73.0,123.0,738.0,24.0,10.0,61.0
7,Modoc,MODOC,2020-03-29,0.0,0.0,0.0,20.0,0.0,0.0,
8,San Benito,SAN BENITO,2020-03-29,1.0,1.0,2.0,25.0,1.0,0.0,1.0
9,Shasta,SHASTA,2020-03-29,0.0,0.0,0.0,279.0,0.0,0.0,
10,San Joaquin,SAN JOAQUIN,2020-03-29,34.0,35.0,69.0,544.0,5.0,2.0,7.0
11,Del Norte,DEL NORTE,2020-03-29,1.0,2.0,3.0,51.0,0.0,0.0,3.0
12,San Diego,SAN DIEGO,2020-03-29,121.0,211.0,332.0,3776.0,77.0,39.0,205.0
13,Sonoma,SONOMA,2020-03-29,7.0,20.0,27.0,575.0,2.0,5.0,12.0
14,Amador,AMADOR,2020-03-29,1.0,0.0,1.0,51.0,0.0,0.0,2.0
15,Riverside,RIVERSIDE,2020-03-29,44.0,78.0,122.0,2726.0,13.0,20.0,46.0
16,Imperial,IMPERIAL,2020-03-29,5.0,100.0,105.0,161.0,1.0,2.0,2.0
17,Yolo,YOLO,2020-03-29,2.0,3.0,5.0,130.0,1.0,1.0,0.0
18,Mendocino,MENDOCINO,2020-03-29,1.0,11.0,12.0,151.0,0.0,0.0,1.0
19,Contra Costa,CONTRA COSTA,2020-03-29,23.0,62.0,85.0,1037.0,8.0,15.0,62.0
20,Stanislaus,STANISLAUS,2020-03-29,20.0,48.0,68.0,1400.0,9.0,8.0,25.0
21,San Luis Obispo,SAN LUIS OBISPO,2020-03-29,7.0,12.0,19.0,303.0,3.0,4.0,948.0
22,Santa Clara,SANTA CLARA,2020-03-29,141.0,72.0,213.0,2582.0,65.0,15.0,70.0
23,Tuolumne,TUOLUMNE,2020-03-29,1.0,5.0,6.0,90.0,0.0,0.0,0.0
24,Mono,MONO,2020-03-29,0.0,1.0,1.0,17.0,0.0,0.0,2.0
25,Siskiyou,SISKIYOU,2020-03-29,0.0,0.0,0.0,36.0,0.0,0.0,2.0
26,Alameda,ALAMEDA,2020-03-29,36.0,91.0,127.0,591.0,20.0,16.0,119.0
27,Tehama,TEHAMA,2020-03-29,0.0,0.0,0.0,106.0,0.0,0.0,2.0
28,Santa Barbara,SANTA BARBARA,2020-03-29,15.0,21.0,36.0,415.0,9.0,3.0,47.0
29,Marin,MARIN,2020-03-29,7.0,13.0,20.0,242.0,2.0,6.0,11.0
30,Kern,KERN,2020-03-29,16.0,57.0,73.0,1171.0,8.0,8.0,39.0
31,Yuba,YUBA,2020-03-29,2.0,12.0,14.0,445.0,2.0,4.0,2.0
32,Los Angeles,LOS ANGELES,2020-03-29,489.0,1132.0,1621.0,13663.0,191.0,182.0,345.0
33,Fresno,FRESNO,2020-03-29,8.0,116.0,124.0,764.0,3.0,14.0,22.0
34,Sutter,SUTTER,2020-03-29,0.0,0.0,0.0,14.0,0.0,0.0,
35,El Dorado,EL DORADO,2020-03-29,0.0,6.0,6.0,155.0,0.0,3.0,3.0
36,Lassen,LASSEN,2020-03-29,0.0,2.0,2.0,25.0,0.0,0.0,
37,Nevada,NEVADA,2020-03-29,23.0,,,58.0,1.0,0.0,3.0
38,Monterey,MONTEREY,2020-03-29,2.0,16.0,18.0,875.0,1.0,2.0,10.0
39,Inyo,INYO,2020-03-29,,,,50.0,,,
40,Plumas,PLUMAS,2020-03-29,0.0,1.0,1.0,9.0,0.0,1.0,
41,Tulare,TULARE,2020-03-29,6.0,13.0,19.0,276.0,5.0,3.0,7.0
42,San Bernardino,SAN BERNARDINO,2020-03-29,33.0,123.0,156.0,2714.0,19.0,20.0,65.0
43,Merced,MERCED,2020-03-29,1.0,7.0,8.0,206.0,0.0,0.0,3.0
44,Solano,SOLANO,2020-03-29,7.0,27.0,34.0,204.0,4.0,1.0,28.0
45,Colusa,COLUSA,2020-03-29,,,,80.0,,,
46,Napa,NAPA,2020-03-29,0.0,26.0,26.0,387.0,,,5.0
47,Ventura,VENTURA,2020-03-29,24.0,85.0,109.0,976.0,5.0,19.0,14.0
48,Madera,MADERA,2020-03-29,1.0,6.0,7.0,568.0,1.0,1.0,8.0
49,Orange,ORANGE,2020-03-29,74.0,167.0,241.0,4213.0,31.0,40.0,131.0
50,Butte,BUTTE,2020-03-29,,,,424.0,,,
