res_county,race_ethnicity_combined,estimated household income
ALAMEDA,Unknown,101744.0
ALPINE,Unknown,55384.0
AMADOR,Unknown,58515.0
BUTTE,Unknown,50945.0
CALAVERAS,Unknown,62984.0
COLUSA,Unknown,57249.0
CONTRA COSTA,Unknown,101463.0
DEL NORTE,Unknown,48518.0
EL DORADO,Unknown,81869.0
FRESNO,Unknown,52318.0
GLENN,Unknown,47365.0
HUMBOLDT,Unknown,49471.0
IMPERIAL,Unknown,46633.0
INYO,Unknown,53793.0
KERN,Unknown,51586.0
KINGS,Unknown,58255.0
LAKE,Unknown,45086.0
LASSEN,Unknown,57705.0
LOS ANGELES,Unknown,67986.0
MADERA,Unknown,53632.0
MARIN,Unknown,122933.0
MARIPOSA,Unknown,51402.0
MENDOCINO,Unknown,51386.0
MERCED,Unknown,56169.0
MODOC,Unknown,45227.0
MONO,Unknown,66499.0
MONTEREY,Unknown,69665.0
NAPA,Unknown,85624.0
NEVADA,Unknown,66681.0
ORANGE,Unknown,89373.0
PLACER,Unknown,89175.0
PLUMAS,Unknown,55079.0
RIVERSIDE,Unknown,66793.0
SACRAMENTO,Unknown,69475.0
SAN BENITO,Unknown,80063.0
SAN BERNARDINO,Unknown,63310.0
SAN DIEGO,Unknown,78777.0
SAN FRANCISCO,Unknown,110601.0
SAN JOAQUIN,Unknown,63567.0
SAN LUIS OBISPO,Unknown,70626.0
SAN MATEO,Unknown,122930.0
SANTA BARBARA,Unknown,75646.0
SANTA CLARA,Unknown,125933.0
SANTA CRUZ,Unknown,84213.0
SHASTA,Unknown,53908.0
SIERRA,Unknown,52308.0
SISKIYOU,Unknown,47560.0
SOLANO,Unknown,82808.0
SONOMA,Unknown,81002.0
STANISLAUS,Unknown,59616.0
SUTTER,Unknown,57879.0
TEHAMA,Unknown,47572.0
TRINITY,Unknown,40680.0
TULARE,Unknown,48763.0
TUOLUMNE,Unknown,56500.0
VENTURA,Unknown,84170.0
YOLO,Unknown,67804.0
YUBA,Unknown,47504.0
Unknown,Unknown,67098.6551724138
ALAMEDA,"American Indian/Alaska Native, Non-Hispanic",63022.0
ALPINE,"American Indian/Alaska Native, Non-Hispanic",40417.0
AMADOR,"American Indian/Alaska Native, Non-Hispanic",43597.33357825129
BUTTE,"American Indian/Alaska Native, Non-Hispanic",41691.0
CALAVERAS,"American Indian/Alaska Native, Non-Hispanic",58452.0
COLUSA,"American Indian/Alaska Native, Non-Hispanic",69167.0
CONTRA COSTA,"American Indian/Alaska Native, Non-Hispanic",73008.0
DEL NORTE,"American Indian/Alaska Native, Non-Hispanic",30500.0
EL DORADO,"American Indian/Alaska Native, Non-Hispanic",61250.0
FRESNO,"American Indian/Alaska Native, Non-Hispanic",40022.0
GLENN,"American Indian/Alaska Native, Non-Hispanic",38462.0
HUMBOLDT,"American Indian/Alaska Native, Non-Hispanic",30957.0
IMPERIAL,"American Indian/Alaska Native, Non-Hispanic",53125.0
INYO,"American Indian/Alaska Native, Non-Hispanic",41622.0
KERN,"American Indian/Alaska Native, Non-Hispanic",51071.0
KINGS,"American Indian/Alaska Native, Non-Hispanic",43971.0
LAKE,"American Indian/Alaska Native, Non-Hispanic",22622.0
LASSEN,"American Indian/Alaska Native, Non-Hispanic",34886.0
LOS ANGELES,"American Indian/Alaska Native, Non-Hispanic",54447.0
MADERA,"American Indian/Alaska Native, Non-Hispanic",48333.0
MARIN,"American Indian/Alaska Native, Non-Hispanic",91845.0
MARIPOSA,"American Indian/Alaska Native, Non-Hispanic",51902.0
MENDOCINO,"American Indian/Alaska Native, Non-Hispanic",49321.0
MERCED,"American Indian/Alaska Native, Non-Hispanic",35625.0
MODOC,"American Indian/Alaska Native, Non-Hispanic",28750.0
MONO,"American Indian/Alaska Native, Non-Hispanic",56458.0
MONTEREY,"American Indian/Alaska Native, Non-Hispanic",59375.0
NAPA,"American Indian/Alaska Native, Non-Hispanic",67857.0
NEVADA,"American Indian/Alaska Native, Non-Hispanic",44310.0
ORANGE,"American Indian/Alaska Native, Non-Hispanic",68847.0
PLACER,"American Indian/Alaska Native, Non-Hispanic",44293.0
PLUMAS,"American Indian/Alaska Native, Non-Hispanic",61667.0
RIVERSIDE,"American Indian/Alaska Native, Non-Hispanic",53250.0
SACRAMENTO,"American Indian/Alaska Native, Non-Hispanic",54068.0
SAN BENITO,"American Indian/Alaska Native, Non-Hispanic",88750.0
SAN BERNARDINO,"American Indian/Alaska Native, Non-Hispanic",50971.0
SAN DIEGO,"American Indian/Alaska Native, Non-Hispanic",56181.0
SAN FRANCISCO,"American Indian/Alaska Native, Non-Hispanic",61250.0
SAN JOAQUIN,"American Indian/Alaska Native, Non-Hispanic",53659.0
SAN LUIS OBISPO,"American Indian/Alaska Native, Non-Hispanic",71964.0
SAN MATEO,"American Indian/Alaska Native, Non-Hispanic",76016.0
SANTA BARBARA,"American Indian/Alaska Native, Non-Hispanic",48340.0
SANTA CLARA,"American Indian/Alaska Native, Non-Hispanic",76886.0
SANTA CRUZ,"American Indian/Alaska Native, Non-Hispanic",70208.0
SHASTA,"American Indian/Alaska Native, Non-Hispanic",43790.0
SIERRA,"American Indian/Alaska Native, Non-Hispanic",40172.942622950824
SISKIYOU,"American Indian/Alaska Native, Non-Hispanic",30528.0
SOLANO,"American Indian/Alaska Native, Non-Hispanic",60305.0
