res_county,cdc_case_earliest_dt,total_partially_vaccinated,cumulative_fully_vaccinated
Unknown,2020-12-15,19,0
Unknown,2020-12-16,163,0
Unknown,2020-12-17,609,0
Unknown,2020-12-18,1364,0
Unknown,2020-12-19,1801,0
Unknown,2020-12-20,2128,0
Unknown,2020-12-21,2983,0
Unknown,2020-12-22,3844,0
Unknown,2020-12-23,4714,0
Unknown,2020-12-24,5128,0
Unknown,2020-12-25,5169,0
Unknown,2020-12-26,5421,0
Unknown,2020-12-27,5583,0
Unknown,2020-12-28,6372,0
Unknown,2020-12-29,7251,0
Unknown,2020-12-30,8334,0
Unknown,2020-12-31,8840,0
Unknown,2021-01-01,8910,0
Unknown,2021-01-02,9228,0
Unknown,2021-01-03,9334,0
Unknown,2021-01-04,10082,1
Unknown,2021-01-05,10870,94
Unknown,2021-01-06,11607,356
Unknown,2021-01-07,12139,882
Unknown,2021-01-08,12561,1589
Unknown,2021-01-09,12755,1873
Unknown,2021-01-10,12787,2066
Unknown,2021-01-11,13081,2820
Unknown,2021-01-12,13627,3525
Unknown,2021-01-13,14520,4104
Unknown,2021-01-14,15982,4439
Unknown,2021-01-15,17910,4697
Unknown,2021-01-16,19036,4826
Unknown,2021-01-17,19741,4889
Unknown,2021-01-18,20598,5220
Unknown,2021-01-19,21976,5754
Unknown,2021-01-20,23585,6329
Unknown,2021-01-21,25920,6654
Unknown,2021-01-22,28351,6897
Unknown,2021-01-23,29839,7111
Unknown,2021-01-24,30732,7190
Unknown,2021-01-25,32024,7792
Unknown,2021-01-26,33643,8433
Unknown,2021-01-27,35401,9100
Unknown,2021-01-28,37467,9681
Unknown,2021-01-29,39444,10266
Unknown,2021-01-30,41045,10528
Unknown,2021-01-31,42072,10609
Unknown,2021-02-01,43462,11307
Unknown,2021-02-02,45122,12065
Unknown,2021-02-03,46896,12991
Unknown,2021-02-04,48749,14025
Unknown,2021-02-05,50295,15366
Unknown,2021-02-06,51778,15961
Unknown,2021-02-07,52373,16242
Unknown,2021-02-08,53391,17292
Unknown,2021-02-09,54147,18740
Unknown,2021-02-10,54661,20627
Unknown,2021-02-11,55139,22679
Unknown,2021-02-12,55569,24820
Unknown,2021-02-13,55913,26098
Unknown,2021-02-14,56079,26847
Unknown,2021-02-15,56403,27934
Unknown,2021-02-16,56768,29917
Unknown,2021-02-17,56821,32142
Unknown,2021-02-18,56756,34552
Unknown,2021-02-19,56946,36643
Unknown,2021-02-20,57252,37819
Unknown,2021-02-21,57294,38515
Unknown,2021-02-22,57338,39914
Unknown,2021-02-23,57195,41971
Unknown,2021-02-24,57112,44507
Unknown,2021-02-25,57553,47106
Unknown,2021-02-26,58439,49759
Unknown,2021-02-27,59111,51615
Unknown,2021-02-28,59547,52540
Unknown,2021-03-01,60269,54268
Unknown,2021-03-02,61437,56224
Unknown,2021-03-03,62449,58629
Unknown,2021-03-04,63645,61105
Unknown,2021-03-05,65244,63288
Unknown,2021-03-06,66548,64967
Unknown,2021-03-07,67243,65783
Unknown,2021-03-08,68685,67072
Unknown,2021-03-09,69656,69261
Unknown,2021-03-10,70630,71786
Unknown,2021-03-11,71476,74917
Unknown,2021-03-12,72245,78353
Unknown,2021-03-13,73253,80580
Unknown,2021-03-14,73606,81883
Unknown,2021-03-15,74481,84145
Unknown,2021-03-16,75874,86804
Unknown,2021-03-17,77837,89296
Unknown,2021-03-18,79525,92063
Unknown,2021-03-19,81131,94989
Unknown,2021-03-20,82798,96832
Unknown,2021-03-21,83590,97746
Unknown,2021-03-22,85311,99353
Unknown,2021-03-23,86984,101701
Unknown,2021-03-24,88376,104454
Unknown,2021-03-25,89677,107533
Unknown,2021-03-26,90646,110944
Unknown,2021-03-27,90980,113576
Unknown,2021-03-28,91258,114936
Unknown,2021-03-29,92106,117272
Unknown,2021-03-30,93330,120252
Unknown,2021-03-31,94613,123463
Unknown,2021-04-01,96241,127212
Unknown,2021-04-02,97742,130896
Unknown,2021-04-03,98470,133725
Unknown,2021-04-04,98530,134998
Unknown,2021-04-05,99187,138058
Unknown,2021-04-06,100130,142082
Unknown,2021-04-07,101168,146208
Unknown,2021-04-08,102170,150699
Unknown,2021-04-09,102942,155230
Unknown,2021-04-10,103264,158844
Unknown,2021-04-11,103346,160722
Unknown,2021-04-12,103648,163824
Unknown,2021-04-13,104603,167077
Unknown,2021-04-14,105066,170736
Unknown,2021-04-15,106167,174411
Unknown,2021-04-16,106790,178195
Unknown,2021-04-17,107668,180701
Unknown,2021-04-18,107804,181981
Unknown,2021-04-19,107561,184840
Unknown,2021-04-20,107607,188323
Unknown,2021-04-21,107403,192045
Unknown,2021-04-22,106658,196259
Unknown,2021-04-23,106029,200348
Unknown,2021-04-24,106189,203062
Unknown,2021-04-25,106420,204239
Unknown,2021-04-26,105901,206943
Unknown,2021-04-27,104905,210503
Unknown,2021-04-28,103987,214020
Unknown,2021-04-29,102467,217909
Unknown,2021-04-30,101112,221856
Unknown,2021-05-01,100117,224530
Unknown,2021-05-02,99615,225808
Unknown,2021-05-03,98089,228804
Unknown,2021-05-04,96004,232720
Unknown,2021-05-05,93743,236751
Unknown,2021-05-06,91067,241164
Unknown,2021-05-07,88590,245432
Unknown,2021-05-08,87019,248195
Unknown,2021-05-09,86361,249350
Unknown,2021-05-10,84810,251908
Unknown,2021-05-11,82900,255152
Unknown,2021-05-12,81127,258267
Unknown,2021-05-13,80053,261352
Unknown,2021-05-14,79055,264766
Unknown,2021-05-15,78362,267484
Unknown,2021-05-16,78021,268802
Unknown,2021-05-17,77523,271124
Unknown,2021-05-18,76840,273889
Unknown,2021-05-19,76338,276511
Unknown,2021-05-20,75749,278708
Unknown,2021-05-21,75017,281110
Unknown,2021-05-22,74800,282608
Unknown,2021-05-23,74657,283048
